Revenue,Profit Margin,returnOnEquity,Book Value per Share,Operating Cash Flow,Class
801538262.835,0.01,0.0955,2.0862,234745721.6661,1
2590527000.0,-0.071,0.2596,-9.028,262223000.0,1
3084000000.0,0.067444876783398,0.0779499999999999,10.419,219000000.0,0
3525456000.0,0.051,0.1831,18.341,149261000.0,1
1213475000.0,0.033,0.0502,3.879,370485000.0,0
4387889000.0,0.064,0.2221,12.993,453769000.0,0
2513113000.0,0.015,0.0799,11.041,104032000.0,0
1106597000.0,0.039,0.0553,23.489,90679000.0,1
279777000.0,0.132,0.2529,10.419,79405000.0,0
3651065000.0,-0.03,-0.2393,2.177,193091000.0,0
635579000.0,0.003,0.0144,4.533,109878000.0,1
5127961000.0,-0.013,-0.2098,7.38,117221000.0,1
4415000000.0,0.078,0.0743,30.48,473000000.0,0
2219125000.0,0.053,0.2456,5.617999999999999,195075000.0,1
1873919000.0,0.071,0.153,13.632,172310000.0,1
1765789000.0,0.03,0.086,27.367,173470000.0,0
1561500000.0,0.0279999999999999,0.0485,28.431,156800000.0,1
1377812000.0,0.036,0.0861,6.647,261532000.0,1
345868000.0,0.016,0.0668,4.252,12780000.0,0
2695390000.0,0.024,0.0424,15.514,297302000.0,0
3171878000.0,0.066,0.2248,10.419,346138000.0,0
1582148000.0,0.055,0.1432,8.719,191713000.0,1
1357318000.0,0.0409999999999999,0.1055,9.962,90832000.0,0
839743000.0,0.009,0.1298,2.033,9519000.0,0
2626990000.0,0.073,0.1731,9.706,454634000.0,0
1254646000.0,0.023,0.0347,22.687,245878000.0,1
660877000.0,0.01,-0.0381,-3.318,82075000.0,0
845569000.0,0.032,0.0786,12.584,100040000.0,0
593053000.0,0.02,0.0524,3.519,24531000.0,0
2473233000.0,0.034,0.083,20.658,188930000.0,0
2994011000.0,0.0579999999999999,0.126,6.495,317355000.0,1
3243987000.0,0.013,0.0779,32.058,171049000.0,1
851965000.0,0.083,0.2331,11.752,53301000.0,0
383268000.0,0.074,0.1546,8.831,-173214000.0,1
1223512000.0,-0.017,0.0485,-8.906,165358000.0,0
894753000.0,0.05,0.0783,17.948,-159807000.0,0
2100590000.0,0.065,0.1021,19.247,185783000.0,1
344861000.0,0.123,0.2018,6.517,26085000.0,0
4727356000.0,0.017,0.1046,19.154,88937000.0,0
1067780000.0,-0.009,-0.0101,-9.165,72410000.0,1
